,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1014,2017-06-27,0.0018274952748264994,-0.015253508227579291,0.016801830957462814,0.0018274952748264994,0.0018274952748264994,-0.001215641935432467,-0.001215641935432467,-0.001215641935432467,-0.0003781292274234476,-0.0003781292274234476,-0.0003781292274234476,-0.0008375127080090196,-0.0008375127080090196,-0.0008375127080090196,0.0,0.0,0.0,0.0006118533393940323
1015,2017-06-28,0.0018378603939581725,-0.014223433666438206,0.01700006517580066,0.0018378603939581725,0.0018378603939581725,-0.0010641901974785593,-0.0010641901974785593,-0.0010641901974785593,-0.0003501327214011914,-0.0003501327214011914,-0.0003501327214011914,-0.0007140574760773681,-0.0007140574760773681,-0.0007140574760773681,0.0,0.0,0.0,0.0007736701964796131
1016,2017-06-29,0.0018482255130898456,-0.014928524518003814,0.01763873111748729,0.0018482255130898456,0.0018482255130898456,-0.0007131877859928289,-0.0007131877859928289,-0.0007131877859928289,-0.0001074633292040114,-0.0001074633292040114,-0.0001074633292040114,-0.0006057244567888175,-0.0006057244567888175,-0.0006057244567888175,0.0,0.0,0.0,0.0011350377270970167
1017,2017-06-30,0.00185859063222152,-0.01445835387164818,0.017095347886265252,0.00185859063222152,0.00185859063222152,5.423870694510453e-05,5.423870694510453e-05,5.423870694510453e-05,0.0005704791033619744,0.0005704791033619744,0.0005704791033619744,-0.0005162403964168699,-0.0005162403964168699,-0.0005162403964168699,0.0,0.0,0.0,0.0019128293391666245
1018,2017-07-01,0.001868955751353193,-0.01422055260082998,0.01604220027261121,0.001868955751353193,0.001868955751353193,-0.00018615923052894996,-0.00018615923052894996,-0.00018615923052894996,0.000262492118374085,0.000262492118374085,0.000262492118374085,-0.000448651348903035,-0.000448651348903035,-0.000448651348903035,0.0,0.0,0.0,0.001682796520824243
1019,2017-07-02,0.001879320870484866,-0.014608054516895229,0.017406377217378043,0.001879320870484866,0.001879320870484866,-5.6393195952198214e-05,-5.6393195952198214e-05,-5.6393195952198214e-05,0.0003488492300012857,0.0003488492300012857,0.0003488492300012857,-0.0004052424259534839,-0.0004052424259534839,-0.0004052424259534839,0.0,0.0,0.0,0.0018229276745326678
1020,2017-07-03,0.001889685989616539,-0.01479390697796317,0.01720789156832159,0.001889685989616539,0.001889685989616539,-0.0007335775801634634,-0.0007335775801634634,-0.0007335775801634634,-0.000346095173708747,-0.000346095173708747,-0.000346095173708747,-0.0003874824064547164,-0.0003874824064547164,-0.0003874824064547164,0.0,0.0,0.0,0.0011561084094530755
1021,2017-07-04,0.0019000511087482134,-0.014231090221665528,0.01669314823321079,0.0019000511087482134,0.0019000511087482134,-0.0007741236721543198,-0.0007741236721543198,-0.0007741236721543198,-0.0003781292274238347,-0.0003781292274238347,-0.0003781292274238347,-0.00039599444473048523,-0.00039599444473048523,-0.00039599444473048523,0.0,0.0,0.0,0.0011259274365938935
1022,2017-07-05,0.0019104162278798865,-0.01467371237651545,0.015736533743143148,0.0019104162278798865,0.0019104162278798865,-0.0007806860361515135,-0.0007806860361515135,-0.0007806860361515135,-0.00035013272140211216,-0.00035013272140211216,-0.00035013272140211216,-0.0004305533147494013,-0.0004305533147494013,-0.0004305533147494013,0.0,0.0,0.0,0.001129730191728373
1023,2017-07-06,0.0019207813470115596,-0.014267085161581795,0.017302792283734582,0.0019207813470115596,0.0019207813470115596,-0.0005975721523557223,-0.0005975721523557223,-0.0005975721523557223,-0.00010746332920274701,-0.00010746332920274701,-0.00010746332920274701,-0.0004901088231529753,-0.0004901088231529753,-0.0004901088231529753,0.0,0.0,0.0,0.0013232091946558371
1024,2017-07-07,0.0019311464661432326,-0.012675027649906682,0.017059743364412044,0.0019311464661432326,0.0019311464661432326,-2.35513827174327e-06,-2.35513827174327e-06,-2.35513827174327e-06,0.0005704791033612496,0.0005704791033612496,0.0005704791033612496,-0.000572834241632993,-0.000572834241632993,-0.000572834241632993,0.0,0.0,0.0,0.0019287913278714893
1025,2017-07-08,0.0019415115852749068,-0.013586863301398695,0.017415233732073536,0.0019415115852749068,0.0019415115852749068,-0.00041370575351872945,-0.00041370575351872945,-0.00041370575351872945,0.00026249211837438475,0.00026249211837438475,0.00026249211837438475,-0.0006761978718931143,-0.0006761978718931143,-0.0006761978718931143,0.0,0.0,0.0,0.0015278058317561773
1026,2017-07-09,0.00195187670440658,-0.013788399407279292,0.017227860151950113,0.00195187670440658,0.00195187670440658,-0.0004482059553629117,-0.0004482059553629117,-0.0004482059553629117,0.0003488492300008905,0.0003488492300008905,0.0003488492300008905,-0.0007970551853638022,-0.0007970551853638022,-0.0007970551853638022,0.0,0.0,0.0,0.0015036707490436682
1027,2017-07-10,0.001962241823538253,-0.015924675143340672,0.017510205837409244,0.001962241823538253,0.001962241823538253,-0.0012778535681168116,-0.0012778535681168116,-0.0012778535681168116,-0.0003460951737087543,-0.0003460951737087543,-0.0003460951737087543,-0.0009317583944080574,-0.0009317583944080574,-0.0009317583944080574,0.0,0.0,0.0,0.0006843882554214416
1028,2017-07-11,0.001972606942669926,-0.014541693584411762,0.016605416489303082,0.001972606942669926,0.001972606942669926,-0.0014544090556529938,-0.0014544090556529938,-0.0014544090556529938,-0.0003781292274228595,-0.0003781292274228595,-0.0003781292274228595,-0.0010762798282301343,-0.0010762798282301343,-0.0010762798282301343,0.0,0.0,0.0,0.0005181978870169323
1029,2017-07-12,0.0019829720618016002,-0.01540902027243211,0.016827863161635485,0.0019829720618016002,0.0019829720618016002,-0.001576477839921284,-0.001576477839921284,-0.001576477839921284,-0.0003501327214001916,-0.0003501327214001916,-0.0003501327214001916,-0.0012263451185210922,-0.0012263451185210922,-0.0012263451185210922,0.0,0.0,0.0,0.0004064942218803163
